"Query", "Target"
"Quais são os documentos escritos por William Shakespeare?","AUT=Shakespeare, William"
"Quais são os documentos escritos por Jane Austen?","AUT=Austen, Jane"
"Quais são os documentos escritos por Mark Twain?","AUT=Twain, Mark"
"Quais são os documentos escritos por Leo Tolstoy?","AUT=Tolstoy, Leo"
"Quais são os documentos escritos por Fyodor Dostoevsky?","AUT=Dostoevsky, Fyodor"
"Quais são os documentos escritos por Gabriel Garcia Marquez?","AUT=Garcia Marquez, Gabriel"
"Quais são os documentos escritos por Virginia Woolf?","AUT=Woolf, Virginia"
"Quais são os documentos escritos por James Joyce?","AUT=Joyce, James"
"Quais são os documentos escritos por Franz Kafka?","AUT=Kafka, Franz"
"Quais são os documentos escritos por Herman Melville?","AUT=Melville, Herman"
"Quais são os documentos escritos por J.K. Rowling?","AUT=Rowling, J.K."
"Quais são os documentos escritos por J.R.R. Tolkien?","AUT=Tolkien, J.R.R."
"Quais são os documentos escritos por George Orwell?","AUT=Orwell, George"
"Quais são os documentos escritos por Aldous Huxley?","AUT=Huxley, Aldous"
"Quais são os documentos escritos por Ernest Hemingway?","AUT=Hemingway, Ernest"
"Quais são os documentos escritos por F. Scott Fitzgerald?","AUT=Fitzgerald, F. Scott"
"Quais são os documentos escritos por Haruki Murakami?","AUT=Murakami, Haruki"
"Quais são os documentos escritos por Paulo Coelho?","AUT=Coelho, Paulo"
"Quais são os documentos escritos por Isabel Allende?","AUT=Allende, Isabel"
"Quais são os documentos escritos por Stephen King?","AUT=King, Stephen"
"Quais são os documentos escritos por Agatha Christie?","AUT=Christie, Agatha"
"Quais são os documentos escritos por Dan Brown?","AUT=Brown, Dan"
"Quais são os documentos escritos por John Grisham?","AUT=Grisham, John"
"Quais são os documentos escritos por Margaret Atwood?","AUT=Atwood, Margaret"
"Quais são os documentos escritos por Kazuo Ishiguro?","AUT=Ishiguro, Kazuo"
"Quais são os documentos escritos por Salman Rushdie?","AUT=Rushdie, Salman"
"Quais são os documentos escritos por Toni Morrison?","AUT=Morrison, Toni"
"Quais são os documentos escritos por Gabriel Garcia Marquez?","AUT=Garcia Marquez, Gabriel"
"Quais são os documentos escritos por Harper Lee?","AUT=Lee, Harper"
"Quais são os documentos escritos por Charles Dickens?","AUT=Dickens, Charles"
"Quais são os documentos escritos por Jules Verne?","AUT=Verne, Jules"
"Quais são os documentos escritos por Arthur Conan Doyle?","AUT=Doyle, Arthur Conan"
"Quais são os documentos escritos por Louisa May Alcott?","AUT=Alcott, Louisa May"
"Quais são os documentos escritos por Alexandre Dumas?","AUT=Dumas, Alexandre"
"Quais são os documentos escritos por Edgar Allan Poe?","AUT=Poe, Edgar Allan"
"Quais são os documentos escritos por H.G. Wells?","AUT=Wells, H.G."
"Quais são os documentos escritos por Victor Hugo?","AUT=Hugo, Victor"
"Quais são os documentos escritos por Oscar Wilde?","AUT=Wilde, Oscar"
"Quais são os documentos escritos por Emily Bronte?","AUT=Bronte, Emily"
"Quais são os documentos escritos por Charlotte Bronte?","AUT=Bronte, Charlotte"
"Quais são os documentos escritos por Anne Bronte?","AUT=Bronte, Anne"
"Quais são os documentos escritos por John Steinbeck?","AUT=Steinbeck, John"
"Quais são os documentos escritos por Jack London?","AUT=London, Jack"
"Quais são os documentos escritos por George Eliot?","AUT=Eliot, George"
"Quais são os documentos escritos por Henry James?","AUT=James, Henry"
"Quais são os documentos escritos por Rudyard Kipling?","AUT=Kipling, Rudyard"
"Quais são os documentos escritos por Willa Cather?","AUT=Cather, Willa"
"Quais são os documentos escritos por Edith Wharton?","AUT=Wharton, Edith"
"Quais são os documentos escritos por Thomas Hardy?","AUT=Hardy, Thomas"
"Quais são os documentos escritos por D.H. Lawrence?","AUT=Lawrence, D.H."
"Quais são os documentos escritos por E.M. Forster?","AUT=Forster, E.M."
"Quais são os documentos escritos por Joseph Conrad?","AUT=Conrad, Joseph"
"Quais são os documentos escritos por William Faulkner?","AUT=Faulkner, William"
"Quais são os documentos escritos por Ernest Hemingway?","AUT=Hemingway, Ernest"
"Quais são os documentos escritos por James Baldwin?","AUT=Baldwin, James"
"Quais são os documentos escritos por Ralph Ellison?","AUT=Ellison, Ralph"
"Quais são os documentos escritos por Flannery O'Connor?","AUT=O'Connor, Flannery"
"Quais são os documentos escritos por Carson McCullers?","AUT=McCullers, Carson"
"Quais são os documentos escritos por Langston Hughes?","AUT=Hughes, Langston"
"Quais são os documentos escritos por Zora Neale Hurston?","AUT=Hurston, Zora Neale"
"Quais são os documentos escritos por Richard Wright?","AUT=Wright, Richard"
"Quais são os documentos escritos por Alice Walker?","AUT=Walker, Alice"
"Quais são os documentos escritos por Maya Angelou?","AUT=Angelou, Maya"
"Quais são os documentos escritos por Toni Morrison?","AUT=Morrison, Toni"
"Quais são os documentos escritos por Chinua Achebe?","AUT=Achebe, Chinua"
"Quais são os documentos escritos por Ngugi wa Thiong'o?","AUT=Thiong'o, Ngugi wa"
"Quais são os documentos escritos por Wole Soyinka?","AUT=Soyinka, Wole"
"Quais são os documentos escritos por Chimamanda Ngozi Adichie?","AUT=Adichie, Chimamanda Ngozi"
"Quais são os documentos escritos por Naguib Mahfouz?","AUT=Mahfouz, Naguib"
"Quais são os documentos escritos por Orhan Pamuk?","AUT=Pamuk, Orhan"
"Quais são os documentos escritos por Kenzaburo Oe?","AUT=Oe, Kenzaburo"
"Quais são os documentos escritos por Yukio Mishima?","AUT=Mishima, Yukio"
"Quais são os documentos escritos por Haruki Murakami?","AUT=Murakami, Haruki"
"Quais são os documentos escritos por Yasunari Kawabata?","AUT=Kawabata, Yasunari"
"Quais são os documentos escritos por Shusaku Endo?","AUT=Endo, Shusaku"
"Quais são os documentos escritos por Kobo Abe?","AUT=Abe, Kobo"
"Quais são os documentos escritos por Banana Yoshimoto?","AUT=Yoshimoto, Banana"
"Quais são os documentos escritos por Jhumpa Lahiri?","AUT=Lahiri, Jhumpa"
"Quais são os documentos escritos por Salman Rushdie?","AUT=Rushdie, Salman"
"Quais são os documentos escritos por Arundhati Roy?","AUT=Roy, Arundhati"
"Quais são os documentos escritos por Anita Desai?","AUT=Desai, Anita"
"Quais são os documentos escritos por Kiran Desai?","AUT=Desai, Kiran"
"Quais são os documentos escritos por Vikram Seth?","AUT=Seth, Vikram"
"Quais são os documentos escritos por V.S. Naipaul?","AUT=Naipaul, V.S."
"Quais são os documentos escritos por Michael Ondaatje?","AUT=Ondaatje, Michael"
"Quais são os documentos escritos por Rohinton Mistry?","AUT=Mistry, Rohinton"
"Quais são os documentos escritos por Kazuo Ishiguro?","AUT=Ishiguro, Kazuo"
"Quais são os documentos escritos por Peter Carey?","AUT=Carey, Peter"
"Quais são os documentos escritos por J.M. Coetzee?","AUT=Coetzee, J.M."
"Quais são os documentos escritos por Nadine Gordimer?","AUT=Gordimer, Nadine"
"Quais são os documentos escritos por Chinua Achebe?","AUT=Achebe, Chinua"
